ticker,Date,Price To Book Ratio
AAPL,24-09-2022,48.14034011
AAPL,25-09-2021,38.89286547
AAPL,26-09-2020,29.81826966
AAPL,28-09-2019,11.16694408
AAPL,29-09-2018,10.44011315
AAPL,30-09-2017,5.99850304
AAPL,24-09-2016,4.807960469
AAPL,26-09-2015,5.529512152
AAPL,27-09-2014,5.496529526
AAPL,28-09-2013,3.615604177
AAPL,29-09-2012,5.275546255
AAPL,24-09-2011,4.8773462
AAPL,25-09-2010,5.562839018
AAPL,26-09-2009,5.851500816
AAPL,27-09-2008,5.375908611
AAPL,29-09-2007,9.130889508
AAPL,30-09-2006,6.508005054
AAPL,24-09-2005,5.760642218
AAPL,25-09-2004,2.729854164
AAPL,27-09-2003,1.767032122
AAPL,28-09-2002,1.276185749
AAPL,29-09-2001,1.367442521
AAPL,30-09-2000,2.034964703
AAPL,25-09-1999,2.994932991
AAPL,25-09-1998,3.114470662
AAPL,26-09-1997,2.238911545
AAPL,27-09-1996,1.341512244
AAPL,29-09-1995,1.579976075
AAPL,30-09-1994,1.678289351
AAPL,30-09-1993,1.374165426
AAPL,30-09-1992,2.526898031
AAPL,30-09-1991,3.364340053
AAPL,30-09-1990,2.648496667
AAPL,30-09-1989,3.841314954
AAPL,30-09-1988,5.602038451
AAPL,30-09-1987,8.849729294
AAPL,30-09-1986,3.096862124
AAPL,30-09-1985,1.75096613
AMZN,31-12-2022,5.860438364
AMZN,31-12-2021,12.20424637
AMZN,31-12-2020,17.43463877
AMZN,31-12-2019,14.70887786
AMZN,31-12-2018,16.79623849
AMZN,31-12-2017,20.2586019
AMZN,31-12-2016,18.43082085
AMZN,31-12-2015,23.58343022
AMZN,31-12-2014,13.34900847
AMZN,31-12-2013,18.69967474
AMZN,31-12-2012,13.87257202
AMZN,31-12-2011,10.10884363
AMZN,31-12-2010,11.72202797
AMZN,31-12-2009,11.07992391
AMZN,31-12-2008,8.118053892
AMZN,31-12-2007,31.96350877
AMZN,31-12-2006,38.08668213
AMZN,31-12-2005,78.96666667
AMZN,31-12-2004,-79.12672599
AMZN,31-12-2003,-20.08489951
AMZN,31-12-2002,-5.283266635
AMZN,31-12-2001,-2.736640986
